#Rank,CustomerId,Balance
1,15806771,3769
2,15713774,12459
3,15776467,14263
4,15741416,16894
5,15669011,23503
6,15800083,24043
7,15674156,27288
8,15715638,27517
9,15690925,27756
10,15594878,28083
11,15598485,28650
12,15649292,29602
13,15627830,32198
14,15574761,33564
15,15677371,34014
16,15693906,34548
17,15798964,35017
18,15751032,35550
19,15791172,35742
20,15629338,36567
21,15592979,37267
22,15743976,37703
23,15773283,38340
24,15752622,38550
25,15679394,38617
26,15602811,38848
27,15763662,39043
28,15611186,39345
29,15754929,39539
30,15684042,40106
31,15682834,40170
32,15672875,40173
33,15624428,40225
34,15576124,40489
35,15804771,40686
36,15612350,40916
37,15734044,41299
38,15740345,41473
39,15569807,42157
40,15665008,42713
41,15615254,43029
42,15658449,43135
43,15618647,43504
44,15642816,43658
45,15582129,43773
46,15813412,44021
47,15767064,44055
48,15635364,44301
49,15569249,44582
50,15613713,44929
51,15750839,45022
52,15743007,45144
53,15658946,45409
54,15603749,45472
55,15753110,45753
56,15686743,46058
57,15660147,46161
58,15690620,46324
59,15593778,46388
60,15623566,46521
61,15610383,46870
62,15669783,47021
63,15719856,47135
64,15674328,47364
65,15680167,47536
66,15688157,47685
67,15658956,47870
68,15582154,47885
69,15746695,48024
70,15707974,48387
71,15704987,49114
72,15700654,49157
73,15812230,49509
74,15680920,49513
75,15808175,49573
76,15579526,50195
77,15633897,50881
78,15624820,50911
79,15622518,51116
80,15569654,51293
81,15735263,51523
82,15768449,51583
83,15611318,51691
84,15801473,51950
85,15761717,51963
86,15567725,52016
87,15743478,52106
88,15708650,52192
89,15799217,52436
90,15702462,52831
91,15775433,53013
92,15664227,53054
93,15634143,53292
94,15644686,53300
95,15813645,53369
96,15566139,53573
97,15771383,53667
98,15578799,53773
99,15758836,54098
100,15575759,54428
101,15584766,54504
102,15645103,54818
103,15607178,54901
104,15647572,54981
105,15802274,55054
106,15798895,55328
107,15781678,55733
108,15668971,55776
109,15779581,55853
110,15702014,56085
111,15630709,56116
112,15726931,56215
113,15621063,56228
114,15613189,56581
115,15694188,56581
116,15684269,56674
117,15635143,56727
118,15751203,56738
119,15780140,57017
120,15661974,57038
121,15585106,57068
122,15804853,57099
123,15626491,57327
124,15569892,57370
125,15798605,57423
126,15613102,57530
127,15646594,57569
128,15572360,57657
129,15600110,57746
130,15801265,57784
131,15565779,57809
132,15611325,57930
133,15791006,58003
134,15705313,58036
135,15757140,58137
136,15759537,58469
137,15747772,58571
138,15677369,58630
139,15599433,58641
140,15644724,58663
141,15763980,58668
142,15598846,58782
143,15761076,58820
144,15791743,59272
145,15669290,59361
146,15674811,59386
147,15592300,59409
148,15584364,59486
149,15578648,59532
150,15665634,59569
151,15597930,59669
152,15656300,59697
153,15683339,59877
154,15673529,59894
155,15717629,59972
156,15628863,60014
157,15681439,60205
158,15766765,60263
159,15729668,60281
160,15638621,60375
161,15674179,60515
162,15808228,60603
163,15616555,60881
164,15664539,61172
165,15659105,61197
166,15762882,61211
167,15793424,61275
168,15770554,61297
169,15635500,61320
170,15754577,61354
171,15617136,61482
172,15612769,61582
